Unnamed: 0,species,species_id,path
401,C3H6CHO-2,C[CH]CC=O_m2,geoms/C_b_CH_d_CC=O_m2.xyz
402,C3H6CHO-3,CC[CH]C=O_m2,geoms/CC_b_CH_d_C=O_m2.xyz
403,SC3H5CHO,CC=CC=O_m1,geoms/CC=CC=O_m1.xyz
404,SC3H5CO,CC=C[C]=O_m2,geoms/CC=C_b_C_d_=O_m2.xyz
405,C2H5COCH3,CCC(=O)C_m1,geoms/CCC_p_=O_q_C_m1.xyz
406,C2H5COCH2,CCC(=O)[CH2]_m2,geoms/CCC_p_=O_q__b_CH2_d__m2.xyz
407,CH2CH2COCH3,[CH2]CC(=O)C_m2,geoms/_b_CH2_d_CC_p_=O_q_C_m2.xyz
408,CH3CHCOCH3,C[CH]C(=O)C_m2,geoms/C_b_CH_d_C_p_=O_q_C_m2.xyz
409,C2H3COCH3,CC(=O)C=C_m1,geoms/CC_p_=O_q_C=C_m1.xyz
410,CH3CHOOCOCH3,CC(C(=O)C)O[O]_m2,geoms/CC_p_C_p_=O_q_C_q_O_b_O_d__m2.xyz
411,CH2CHOOHCOCH3,[CH2]C(C(=O)C)OO_m2,geoms/_b_CH2_d_C_p_C_p_=O_q_C_q_OO_m2.xyz
412,C2H5CHCO,CCC=C=O_m1,geoms/CCC=C=O_m1.xyz
413,NC5H12,CCCCC_m1,geoms/CCCCC_m1.xyz
414,C5H11-1,CCCC[CH2]_m2,geoms/CCCC_b_CH2_d__m2.xyz
415,C5H11-2,C[CH]CCC_m2,geoms/C_b_CH_d_CCC_m2.xyz
416,C5H11-3,CC[CH]CC_m2,geoms/CC_b_CH_d_CC_m2.xyz
417,C5H11O2H-1,CCCCCOO_m1,geoms/CCCCCOO_m1.xyz
418,C5H11O2H-2,CC(OO)CCC_m1,geoms/CC_p_OO_q_CCC_m1.xyz
419,C5H11O2H-3,CCC(OO)CC_m1,geoms/CCC_p_OO_q_CC_m1.xyz
420,C5H11O2-1,CCCCCO[O]_m2,geoms/CCCCCO_b_O_d__m2.xyz
421,C5H11O2-2,CC(O[O])CCC_m2,geoms/CC_p_O_b_O_d__q_CCC_m2.xyz
422,C5H11O2-3,CCC(O[O])CC_m2,geoms/CCC_p_O_b_O_d__q_CC_m2.xyz
423,C5H11O-1,CCCCC[O]_m2,geoms/CCCCC_b_O_d__m2.xyz
424,C5H11O-2,CCCC([O])C_m2,geoms/CCCC_p__b_O_d__q_C_m2.xyz
425,C5H11O-3,CCC(CC)[O]_m2,geoms/CCC_p_CC_q__b_O_d__m2.xyz
426,C5H10OOH1-2,CCC[CH]COO_m2,geoms/CCC_b_CH_d_COO_m2.xyz
427,C5H10OOH1-3,CC[CH]CCOO_m2,geoms/CC_b_CH_d_CCOO_m2.xyz
428,C5H10OOH1-4,C[CH]CCCOO_m2,geoms/C_b_CH_d_CCCOO_m2.xyz
429,C5H10OOH1-5,[CH2]CCCCOO_m2,geoms/_b_CH2_d_CCCCOO_m2.xyz
430,C5H10OOH2-1,[CH2]C(OO)CCC_m2,geoms/_b_CH2_d_C_p_OO_q_CCC_m2.xyz
431,C5H10OOH2-3,CC(OO)[CH]CC_m2,geoms/CC_p_OO_q__b_CH_d_CC_m2.xyz
432,C5H10OOH2-4,CC(OO)C[CH]C_m2,geoms/CC_p_OO_q_C_b_CH_d_C_m2.xyz
433,C5H10OOH2-5,CC(OO)CC[CH2]_m2,geoms/CC_p_OO_q_CC_b_CH2_d__m2.xyz
434,C5H10OOH3-1,CCC(OO)C[CH2]_m2,geoms/CCC_p_OO_q_C_b_CH2_d__m2.xyz
435,C5H10OOH3-2,C[CH]C(OO)CC_m2,geoms/C_b_CH_d_C_p_OO_q_CC_m2.xyz
436,C5H10O1-2,CCCC1CO1_m1,geoms/CCCC1CO1_m1.xyz
437,C5H10O1-3,CCC1CCO1_m1,geoms/CCC1CCO1_m1.xyz
438,C5H10O1-4,CC1CCCO1_m1,geoms/CC1CCCO1_m1.xyz
439,C5H10O1-5,C1CCCOC1_m1,geoms/C1CCCOC1_m1.xyz
440,C5H10O2-3,CCC1OC1C_m1,geoms/CCC1OC1C_m1.xyz
441,C5H10O2-4,CC1CC(O1)C_m1,geoms/CC1CC_p_O1_q_C_m1.xyz
